"";"ID";"anio";"dpto";"region";"w_ano";"e26";"e27";"e29_6";"e49";"e51_2";"e51_3";"e51_4_a";"e51_4_b";"e51_5";"e51_6a";"e201_1a";"e201_1b";"e201_1c";"e201_1d";"e51_6";"e51_8";"e218_1";"e51_9";"e51_10";"e51_11";"e224_1";"f85";"f124_1";"f124_2";"f124_3";"f124_5";"f73";"POBPCOAC";"PT1";"PT2";"PT4";"edu";"exp";"lpt1";"pt1";"lpt4";"pt4";"exp2"
"8326";22344;2022;6;2;47;1;30;3;1;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;36;2;2;2;2;1;2;12000;12000;12000;6;18;9,39266192877014;12000;9,39266192877014;12000;324
"8327";22346;2022;6;2;12;1;59;3;1;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;24;2;2;2;2;9;2;16000;16000;16000;6;47;9,68034400122192;16000;9,68034400122192;16000;2209
"8328";22347;2022;7;2;27;2;57;3;1;6;0;3;0;3;0;1;0;1;0;0;0;0;0;0;0;0;30;2;2;2;1;2;2;32809,85;32809,85;32809,85;12;39;10,3984840541678;32810;10,3984840541678;32810;1521
"8329";22348;2022;7;2;27;1;63;3;1;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;40;2;2;2;1;2;2;52809,85;47809,85;47809,85;6;51;10,8744530053258;52810;10,7749869641963;47810;2601
"8330";22349;2022;7;2;40;1;44;3;1;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;48;2;2;2;1;1;2;47809,85;47809,85;47809,85;6;32;10,7749869641963;47810;10,7749869641963;47810;1024
"8331";22350;2022;7;2;27;1;55;3;1;6;0;3;0;1;0;1;0;2;0;0;0;0;0;0;0;0;30;2;2;2;1;2;2;122809,9;122809,9;122809,9;10;39;11,7183929103382;122810;11,7183929103382;122810;1521
"8332";22351;2022;7;2;39;1;36;3;1;6;0;0;3;0;0;0;1;0;1;3;0;2;3;0;0;0;40;2;2;2;1;9;2;52809,85;52809,85;52809,85;12;18;10,8744530053258;52810;10,8744530053258;52810;324
"8333";22351;2022;7;2;39;2;30;3;1;6;0;3;0;3;0;1;0;1;0;0;0;1;4;0;0;0;48;2;2;2;1;1;2;72809,85;72809,85;72809,85;16;8;11,1956065272301;72810;11,1956065272301;72810;64
"8334";22353;2022;7;2;27;2;48;3;1;6;0;3;0;0;0;1;0;0;0;0;0;0;0;0;0;0;48;2;2;2;1;1;2;22809,85;22809,85;22809,85;9;33;10,0349477391937;22810;10,0349477391937;22810;1089
"8335";22353;2022;7;2;27;1;54;3;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;48;2;2;2;1;1;2;37809,85;37809,85;37809,85;2;46;10,5403249296727;37810;10,5403249296727;37810;2116
"8336";22357;2022;7;2;16;2;55;3;1;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;40;2;2;2;1;9;2;15000;15000;15000;6;43;9,61580548008435;15000;9,61580548008435;15000;1849
"8337";22358;2022;7;2;42;1;32;3;1;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;40;2;2;2;1;1;2;62809,85;62809,85;62809,85;6;20;11,0478671872908;62810;11,0478671872908;62810;400
"8338";22359;2022;7;2;25;2;53;3;1;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;35;2;2;2;1;2;2;42809,85;42809,85;42809,85;6;41;10,6645234952786;42810;10,6645234952786;42810;1681
"8339";22361;2022;7;2;45;2;42;3;1;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;40;2;2;2;1;1;2;22809,85;22809,85;22809,85;5;31;10,0349477391937;22810;10,0349477391937;22810;961
"8340";22361;2022;7;2;45;1;18;3;1;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;40;2;2;2;1;1;2;30000;30000;30000;6;6;10,3089526606443;30000;10,3089526606443;30000;36
"8341";22362;2022;7;2;36;2;32;3;1;6;0;3;0;3;0;1;0;1;0;0;0;2;2;0;0;0;40;2;2;2;1;2;2;42809,85;42809,85;42809,85;14;12;10,6645234952786;42810;10,6645234952786;42810;144
"8342";22362;2022;7;2;36;1;34;3;1;6;0;3;0;3;3;1;0;1;0;0;0;2;1;0;0;0;40;2;2;2;1;2;2;74809,85;74809,85;74809,85;16;12;11,2227048397849;74810;11,2227048397849;74810;144
"8343";22363;2022;7;2;42;1;45;3;1;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;60;2;2;2;1;1;2;42809,85;42809,85;42809,85;6;33;10,6645234952786;42810;10,6645234952786;42810;1089
"8344";22363;2022;7;2;42;2;39;3;1;6;0;3;0;0;0;1;0;0;0;0;0;0;0;0;0;0;44;2;2;2;1;1;2;42809,85;42809,85;42809,85;9;24;10,6645234952786;42810;10,6645234952786;42810;576
"8345";22364;2022;7;2;45;1;35;3;1;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;48;2;2;2;1;1;2;42809,85;42809,85;42809,85;6;23;10,6645234952786;42810;10,6645234952786;42810;529
"8346";22364;2022;7;2;45;2;23;3;1;6;0;3;0;3;0;1;0;1;0;0;0;0;0;0;0;0;48;2;2;2;1;1;2;34809,85;34809,85;34809,85;12;5;10,4576556716896;34810;10,4576556716896;34810;25
"8347";22365;2022;7;2;36;1;39;3;1;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;40;2;2;2;1;2;2;37809,85;37809,85;37809,85;6;27;10,5403249296727;37810;10,5403249296727;37810;729
"8348";22372;2022;8;2;53;2;25;3;1;6;0;3;0;3;0;1;0;1;0;0;0;0;0;0;0;0;48;2;2;2;2;1;2;29809,85;29809,85;29809,85;12;7;10,302594154791;29810;10,302594154791;29810;49
